#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat May 08 17:52:14 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       LongDivisionCircuit_map.ncd
#OUTPUT FILE:      LongDivisionCircuit_pad.csv
#PART TYPE:        xc3s1500
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
A3,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
A4,,DIFFS,IO_L15N_0,UNUSED,,0,,,,,,,,,
A5,DIVIDEND<4>,IOB,IO_L15P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A6,,,GND,,,,,,,,,,,,
A7,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
A8,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
A9,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
A11,,IOB,IO,UNUSED,,1,,,,,,,,,
A12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,DIFFS,IO_L16N_1,UNUSED,,1,,,,,,,,,
A15,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
A16,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
A17,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,QUOTIENT<2>,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B2,,,GND,,,,,,,,,,,,
B3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
B4,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
B5,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,
B6,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,,,VCCO_0,,,0,,,,,2.50,,,,
B9,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
B10,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
B11,,,VCCO_1,,,1,,,,,any******,,,,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,,IOB,IO,UNUSED,,1,,,,,,,,,
B14,,DIFFM,IO_L16P_1,UNUSED,,1,,,,,,,,,
B15,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
B16,,,TMS,,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,
C1,QUOTIENT<3>,IOB,IO_L16N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,
C3,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,
C4,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
C5,,DIFFS,IO_L10N_0,UNUSED,,0,,,,,,,,,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
C8,,DIFFS,IO_L28N_0,UNUSED,,0,,,,,,,,,
C9,,,GND,,,,,,,,,,,,
C10,,,GND,,,,,,,,,,,,
C11,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,
C12,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
C13,,,VCCO_1,,,1,,,,,any******,,,,
C14,,DIFFS,IO_L15N_1,UNUSED,,1,,,,,,,,,
C15,,DIFFM,IO_L15P_1,UNUSED,,1,,,,,,,,,
C16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
C17,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
C18,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,
D1,QUOTIENT<5>,IOB,IO_L17N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,QUOTIENT<4>,IOB,IO_L17P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,QUOTIENT<6>,IOB,IO_L19P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D4,,,TDI,,,,,,,,,,,,
D5,QUOTIENT<0>,IOB,IO_L10P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
D7,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFM,IO_L28P_0,UNUSED,,0,,,,,,,,,
D9,,IOB,IO,UNUSED,,0,,,,,,,,,
D10,,IOB,IO,UNUSED,,1,,,,,,,,,
D11,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,
D12,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
D13,,DIFFM,IO_L24P_1,UNUSED,,1,,,,,,,,,
D14,,DIFFS,IO_L24N_1,UNUSED,,1,,,,,,,,,
D15,,,TDO,,,,,,,,,,,,
D16,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,
D17,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,
D18,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,
E1,QUOTIENT<8>,IOB,IO_L20P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,QUOTIENT<9>,IOB,IO_L20N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,QUOTIENT<7>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E4,QUOTIENT<11>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E5,,,PROG_B,,,,,,,,,,,,
E6,,,HSWAP_EN,,,,,,,,,,,,
E7,,IOB,IO,UNUSED,,0,,,,,,,,,
E8,,DIFFS,IO_L29N_0,UNUSED,,0,,,,,,,,,
E9,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
E10,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
E11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,
E12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
E13,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,
E14,,,TCK,,,,,,,,,,,,
E15,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,
E16,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,
E17,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
E18,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
F1,,,GND,,,,,,,,,,,,
F2,DIVIDEND<10>,IOB,IO_L23P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
F3,,,VCCO_7,,,7,,,,,2.50,,,,
F4,QUOTIENT<10>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,QUOTIENT<12>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,,,VCCINT,,,,,,,,1.2,,,,
F8,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,
F9,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,
F10,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
F11,,DIFFS,IO_L29N_1,UNUSED,,1,,,,,,,,,
F12,,,VCCINT,,,,,,,,1.2,,,,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,
F15,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,
F16,,,VCCO_2,,,2,,,,,any******,,,,
F17,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,
F18,,,GND,,,,,,,,,,,,
G1,QUOTIENT<15>,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,QUOTIENT<14>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,DIVIDEND<14>,IOB,IO_L24N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
G5,DIVIDEND<5>,IOB,IO_L22N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
G6,,,VCCINT,,,,,,,,1.2,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,,,VCCO_0,,,0,,,,,2.50,,,,
G10,,,VCCO_1,,,1,,,,,any******,,,,
G11,,,VCCO_1,,,1,,,,,any******,,,,
G12,,,GND,,,,,,,,,,,,
G13,,,VCCINT,,,,,,,,1.2,,,,
G14,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
G15,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,
G16,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,
H1,DIVIDEND<17>,IOB,IO_L35N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
H2,DIVIDEND<15>,IOB,IO_L35P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
H3,DIVIDEND<3>,IOB,IO_L34P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
H4,DIVIDEND<18>,IOB,IO_L34N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
H5,QUOTIENT<1>,IOB,IO_L27N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,QUOTIENT<16>,IOB,IO_L27P_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,,VCCO_7,,,7,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_2,,,2,,,,,any******,,,,
H13,,DIFFS,IO_L27N_2,UNUSED,,2,,,,,,,,,
H14,,DIFFM,IO_L27P_2,UNUSED,,2,,,,,,,,,
H15,,DIFFM,IO_L34P_2,UNUSED,,2,,,,,,,,,
H16,,DIFFS,IO_L34N_2/VREF_2,UNUSED,,2,,,,,,,,,
H17,,DIFFS,IO_L35N_2,UNUSED,,2,,,,,,,,,
H18,,DIFFM,IO_L35P_2,UNUSED,,2,,,,,,,,,
J1,DIVIDEND<1>,IOB,IO_L39N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
J2,DIVIDEND<2>,IOB,IO_L39P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,DIVIDEND<11>,IOB,IO_L40P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
J5,DIVIDEND<7>,IOB,IO_L40N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
J6,DIVIDEND<9>,IOB,IO,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
J7,,,VCCO_7,,,7,,,,,2.50,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCO_2,,,2,,,,,any******,,,,
J13,,DIFFM,IO,UNUSED,,2,,,,,,,,,
J14,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,
J15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,
J16,,,GND,,,,,,,,,,,,
J17,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,
J18,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,
K1,QUOTIENT<19>,IOB,IO_L40N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K2,DIVIDEND<6>,IOB,IO_L40P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
K3,,,GND,,,,,,,,,,,,
K4,DIVIDEND<8>,IOB,IO_L39P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
K5,QUOTIENT<13>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,DIVIDEND<12>,IOB,IO,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
K7,,,VCCO_6,,,6,,,,,2.50,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCO_3,,,3,,,,,2.50,,,,
K13,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,,,,
K14,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,
K16,,,GND,,,,,,,,,,,,
K17,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,
K18,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
L1,QUOTIENT<17>,IOB,IO_L35P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L2,DIVIDEND<16>,IOB,IO_L35N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L3,DIVIDEND<13>,IOB,IO_L34N_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L4,DIVIDEND<19>,IOB,IO_L34P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L5,DIVIDEND<21>,IOB,IO_L27P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L6,ERROR,IOB,IO_L27N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L7,,,VCCO_6,,,6,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_3,,,3,,,,,2.50,,,,
L13,REMAINDER<29>,IOB,IO_L27P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L14,DIVISOR<30>,IOB,IO_L27N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L15,,DIFFS,IO_L34N_3,UNUSED,,3,,,,,,,,,
L16,DIVISOR<31>,IOB,IO_L34P_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L17,,DIFFM,IO_L35P_3,UNUSED,,3,,,,,,,,,
L18,,DIFFS,IO_L35N_3,UNUSED,,3,,,,,,,,,
M1,DIVIDEND<22>,IOB,IO_L24P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,DIVIDEND<23>,IOB,IO_L23N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
M4,QUOTIENT<18>,IOB,IO_L23P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M5,QUOTIENT<20>,IOB,IO_L22P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M6,,,VCCINT,,,,,,,,1.2,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,2.50,,,,
M9,,,VCCO_5,,,5,,,,,2.50,,,,
M10,,,VCCO_4,,,4,,,,,2.50,,,,
M11,,,VCCO_4,,,4,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,DIVISOR<7>,IOB,IO_L22N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M15,DIVISOR<26>,IOB,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M16,REMAINDER<30>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,DIVISOR<10>,IOB,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N1,,,GND,,,,,,,,,,,,
N2,QUOTIENT<21>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N3,,,VCCO_6,,,6,,,,,2.50,,,,
N4,QUOTIENT<24>,IOB,IO_L21N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N5,DIVIDEND<20>,IOB,IO_L22N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,,,VCCINT,,,,,,,,1.2,,,,
N8,REMAINDER<4>,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N9,REMAINDER<0>,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,REMAINDER<17>,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,REMAINDER<22>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,DIVISOR<23>,IOB,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N15,REMAINDER<31>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N16,,,VCCO_3,,,3,,,,,2.50,,,,
N17,DIVISOR<27>,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,QUOTIENT<23>,IOB,IO_L20P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P2,DIVIDEND<26>,IOB,IO_L20N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P3,QUOTIENT<26>,IOB,IO_L19P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P4,DIVIDEND<25>,IOB,IO_L21P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P5,,,M0,,,,,,,,,,,,
P6,REMAINDER<1>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P7,REMAINDER<2>,IOB,IO_L27P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,REMAINDER<6>,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,REMAINDER<14>,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,CLK,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P11,REMAINDER<21>,IOB,IO_L30P_4/D3,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,DIVISOR<19>,IOB,IO,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P13,REMAINDER<7>,IOB,IO_L25P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P14,REMAINDER<26>,IOB,IO_L06N_4/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P15,DIVISOR<22>,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P16,DIVISOR<16>,IOB,IO_L17N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P17,DIVISOR<29>,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P18,DIVISOR<20>,IOB,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R1,DIVIDEND<27>,IOB,IO_L17P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
R2,DIVIDEND<29>,IOB,IO_L17N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
R3,QUOTIENT<22>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R4,,,M2,,,,,,,,,,,,
R5,EOC,IOB,IO_L15P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R6,DIVIDEND<0>,IOB,IO_L15N_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
R7,REMAINDER<5>,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
